"num_ways,crashes,total_scenarios,hit_rate"
2,0,1,0.0
3,4,8,0.5
4,14,27,0.5185185185185185
5,32,64,0.5
6,60,125,0.48
7,100,216,0.46296296296296297
8,154,343,0.4489795918367347
9,224,512,0.4375
10,312,729,0.4279835390946502
11,420,1000,0.42
12,550,1331,0.4132231404958678
13,704,1728,0.4074074074074074
14,884,2197,0.40236686390532544
15,1092,2744,0.3979591836734694
16,1330,3375,0.3940740740740741
17,1600,4096,0.390625
18,1904,4913,0.3875432525951557
19,2244,5832,0.38477366255144035
20,2622,6859,0.38227146814404434
21,3040,8000,0.38
22,3500,9261,0.3779289493575208
23,4004,10648,0.3760330578512397
24,4554,12167,0.3742911153119093
25,5152,13824,0.3726851851851852
26,5800,15625,0.3712
27,6500,17576,0.3698224852071006
28,7254,19683,0.3685413808870599
29,8064,21952,0.3673469387755102
30,8932,24389,0.36623067776456597
31,9860,27000,0.36518518518518517
32,10850,29791,0.36420395421436
33,11904,32768,0.36328125
34,13024,35937,0.3624119987756351
35,14212,39304,0.3615916955017301
36,15470,42875,0.36081632653061224
37,16800,46656,0.360082304526749
38,18204,50653,0.3593864134404675
39,19684,54872,0.3587257617728532
40,21242,59319,0.35809774271312733
41,22880,64000,0.3575
42,24600,68921,0.35693039857227843
43,26404,74088,0.3563869992441421
44,28294,79507,0.35586803677663603
45,30272,85184,0.35537190082644626
46,32340,91125,0.35489711934156376
47,34500,97336,0.3544423440453686
48,36754,103823,0.35400633770937073
49,39104,110592,0.35358796296296297
50,41552,117649,0.3531861724281549
51,44100,125000,0.3528
52,46750,132651,0.3524285531205946
53,49504,140608,0.3520710059171598
54,52364,148877,0.35172659309362764
55,55332,157464,0.3513946044810242
56,58410,166375,0.35107438016528925
57,61600,175616,0.350765306122449
58,64904,185193,0.35046681030060534
59,68324,195112,0.3501783590963139
60,71862,205379,0.34989945417983337
61,75520,216000,0.3496296296296296
62,79300,226981,0.34936844934157485
63,83204,238328,0.34911550468262226
64,87234,250047,0.34887041236247585
65,91392,262144,0.3486328125
66,95680,274625,0.3484023668639053
67,100100,287496,0.34817875726966635
68,104654,300763,0.3479616841167298
69,109344,314432,0.3477508650519031
70,114172,328509,0.3475460337464118
71,119140,343000,0.3473469387755102
72,124250,357911,0.3471533425907558
73,129504,373248,0.3469650205761317
74,134904,389017,0.3467817601801464
75,140452,405224,0.34660336011687365
76,146150,421875,0.34642962962962964
77,152000,438976,0.3462603878116344
78,158004,456533,0.34609546297857985
79,164164,474552,0.3459346920885382
80,170482,493039,0.34577792020509535
81,176960,512000,0.345625
82,183600,531441,0.34547579129197786
83,190404,551368,0.3453301606186794
84,197374,571787,0.34518798083901875
85,204512,592704,0.3450491307634165
86,211820,614125,0.3449134948096886
87,219300,636056,0.3447809626825311
88,226954,658503,0.34465142907473467
89,234784,681472,0.34452479338842973
90,242792,704969,0.3444009594748138
91,250980,729000,0.3442798353909465
92,259350,753571,0.34416133317232217
93,267904,778688,0.3440453686200378
94,276644,804357,0.3439318611014761
95,285572,830584,0.3438207333635129
96,294690,857375,0.3437119113573407
97,304000,884736,0.34360532407407407
98,313504,912673,0.3435009033903709
99,323204,941192,0.34339858392336525
100,333102,970299,0.3432983028942625
101,343200,1000000,0.3432
102,353500,1030301,0.34310361729242234
103,364004,1061208,0.34300909906446236
104,374714,1092727,0.3429163917428598
105,385632,1124864,0.34282544378698226
106,396760,1157625,0.34273620559334844
107,408100,1191016,0.34264862940548235
108,419654,1225043,0.3425626692287536
109,431424,1259712,0.3424782807498857
110,443412,1295029,0.3423954212608366
111,455620,1331000,0.34231404958677686
112,468050,1367631,0.3422341260179098
113,480704,1404928,0.34215561224489793
114,493584,1442897,0.34207847129767405
115,506692,1481544,0.342002667487432
116,520030,1520875,0.34192816635160683
117,533600,1560896,0.34185493460166466
118,547404,1601613,0.3417829400735384
119,561444,1643032,0.3417121516805516
120,575722,1685159,0.34164253936868866
121,590240,1728000,0.3415740740740741
122,605000,1771561,0.34150672768253537
123,620004,1815848,0.3414404729911314
124,635254,1860867,0.3413752836715359
125,650752,1906624,0.3413111342351717
126,666500,1953125,0.341248
127,682500,2000376,0.34118585705887294
128,698754,2048383,0.3411246822493645
129,715264,2097152,0.341064453125
130,732032,2146689,0.34100514792780884
131,749060,2197000,0.34094674556213017
132,766350,2248091,0.3408892255696055
133,783904,2299968,0.3408325681052954
134,801724,2352637,0.34077675391486234
135,819812,2406104,0.3407217643127645
136,838170,2460375,0.34066758116140833
137,856800,2515456,0.3406141868512111
138,875704,2571353,0.34056156428152806
139,894884,2628072,0.34050969684240007
140,914342,2685619,0.3404585683970809
141,934080,2744000,0.3404081632653061
142,954100,2803221,0.34035846620726656
143,974404,2863288,0.34030946240825233
144,994994,2924207,0.34026113746393466
145,1015872,2985984,0.3402134773662551
146,1037040,3048625,0.34016646848989296
147,1058500,3112136,0.3401200975792832
148,1080254,3176523,0.3400743517361593
149,1102304,3241792,0.3400292184075968
150,1124652,3307949,0.3399846853745327
151,1147300,3375000,0.33994074074074077
152,1170250,3442951,0.33989737292224026
153,1193504,3511808,0.3398545706371191
154,1217064,3581577,0.33981232289575236
155,1240932,3652264,0.3397706189913982
156,1265110,3723875,0.33972944849115505
157,1289600,3796416,0.33968880122726275
158,1314404,3869893,0.33964866728873383
159,1339524,3944312,0.33960903701329914
160,1364962,4019679,0.33956990097965534
161,1390720,4096000,0.33953125
162,1416800,4173281,0.3394930751128429
163,1443204,4251528,0.33945536757608086
164,1469934,4330747,0.33941811886032597
165,1496992,4410944,0.3393813206424747
166,1524380,4492125,0.33934496479951026
167,1552100,4574296,0.33930904340252577
168,1580154,4657463,0.3392735487109613
169,1608544,4741632,0.3392384731670446
170,1637272,4826809,0.3392038093904275
171,1666340,4913000,0.33916955017301037
172,1695750,5000211,0.3391356884739464
173,1725504,5088448,0.33910221741481883
174,1755604,5177717,0.33906913027498414
175,1786052,5268024,0.3390364204870745
176,1816850,5359375,0.33900408163265305
177,1848000,5451776,0.33897210743801653
178,1879504,5545233,0.3389404917701384
179,1911364,5639752,0.3389092286327484
180,1943582,5735339,0.3388783121625417
181,1976160,5832000,0.33884773662551443
182,2009100,5929741,0.3388174964134184
183,2042404,6028568,0.33878758604033327
184,2076074,6128487,0.33875800013934926
185,2110112,6229504,0.3387287334593573
186,2144520,6331625,0.338699780861943
187,2179300,6434856,0.3386711373183798
188,2214454,6539203,0.33864279790671736
189,2249984,6644672,0.33861475780896333
190,2285892,6751269,0.3385870123083527
191,2322180,6859000,0.3385595567867036
192,2358850,6967871,0.3385323867218552
193,2395904,7077888,0.3385054976851852
194,2433344,7189057,0.33847888533920373
195,2471172,7301384,0.3384525454352216
196,2509390,7414875,0.3384264738110892
197,2548000,7529536,0.33840066638900457
198,2587004,7645373,0.33837511917338764
199,2626404,7762392,0.33834982824881815
